vim_id,cspCount,name_of_description,fsa_number,time_stamp
1FMZU74E02UB80534,,,,2023-03-06 23:51:09.258813
1FMPU16L13LA35039,,,,2023-03-06 23:51:09.252677
3FMTK4SE8MME00569,,,,2023-03-06 23:51:09.301764
1ZVFT80N755166258,,,,2023-03-06 23:51:09.362146
1FADP3L97EL395766,,,,2023-03-06 23:51:09.388991
1FMYU01191KB81891,,,,2023-03-06 23:51:09.627222
1FATP8FF9L5161270,2,REAR TOE LINK REPLACEMENT,21R01,2023-03-06 23:51:09.651361
1FTMF1CB1JKF05070,2,REAR TOE LINK REPLACEMENT,21R01,2023-03-06 23:51:09.649741
1ZVHT82H295101534,1,TRANSMISSION CONTROL MODULE EXTENDED WARRANTY COVERAGE,14M02,2023-03-06 23:51:09.659483
1FTMF1CB1JKF05070,2,FRONT DOOR TRIM PANEL REPAIR,17N04,2023-03-06 23:51:09.666082
1FATP8FF9L5161270,2,FRONT DOOR TRIM PANEL REPAIR,17N04,2023-03-06 23:51:09.656310
1FM5K8GT8FGC40469,1,TRANSMISSION CONTROL MODULE EXTENDED WARRANTY COVERAGE,14M02,2023-03-06 23:51:09.672721
1FM5K8GT2KGB27773,1,TRANSMISSION CONTROL MODULE EXTENDED WARRANTY COVERAGE,14M02,2023-03-06 23:51:09.662765
1FADP3F26DL208773,1,TRANSMISSION CONTROL MODULE EXTENDED WARRANTY COVERAGE,14M02,2023-03-06 23:51:09.679808
1FTPW14V89FA61292,2,POWER DOOR LOCK ACTUATOR FAILURE,20M04,2023-03-06 23:51:11.102501
1FTFW1E53JKC57565,2,POWER DOOR LOCK ACTUATOR FAILURE,20M04,2023-03-06 23:51:11.106265
1FTPW14V88FB24423,2,POWER DOOR LOCK ACTUATOR FAILURE,20M04,2023-03-06 23:51:11.097163
1FTPW14V89FA61292,2,DOOR LATCH FREEZING CONCERNS,18N03,2023-03-06 23:51:11.104849
1FTFW1E53JKC57565,2,DOOR LATCH FREEZING CONCERNS,18N03,2023-03-06 23:51:11.110066
1FMZU73K94ZA16003,,,,2023-03-06 23:51:11.091341
1FTPW14V88FB24423,2,DOOR LATCH FREEZING CONCERNS,18N03,2023-03-06 23:51:11.115836
1ZVBP8AM3C5270106,1,MOLDED LEADFRAME EXTENDED COVERAGE,16N02,2023-03-06 23:51:11.125603
1fabp44a3hf230189,,,,2023-03-06 23:51:11.377694
1FMDU34X7PUB64679,,,,2023-03-06 23:51:11.380882
1FMJU1HT3FEF49860,,,,2023-03-06 23:51:11.379637
1FA6P8CF8J5179869,,,,2023-03-06 23:51:11.389899
1FAHP3GNXBW101327,,,,2023-03-06 23:51:11.386800
1FMDU34X2TZB79300,,,,2023-03-06 23:51:11.416555
1FMZU65WX4UB78441,,,,2023-03-06 23:51:11.411931
1FAFP40433F329671,,,,2023-03-06 23:51:12.898595
1ftpx12524nb72614,,,,2023-03-06 23:51:12.926040
1FMCU9GD7HUC54920,,,,2023-03-06 23:51:12.923793
1FMZU63K55UB72516,,,,2023-03-06 23:51:12.929034
1FTRX18L5YNB91047,,,,2023-03-06 23:51:12.936047
1FTFX1EF9FKD72880,2,REAR WHEEL KNUCKLE REPLACEMENT,22N01,2023-03-06 23:51:13.240774
1FTEW1EF4FFB49234,2,REAR WHEEL KNUCKLE REPLACEMENT,22N01,2023-03-06 23:51:13.243156
1FTRX17W0XNB00342,2,REAR WHEEL KNUCKLE REPLACEMENT,22N01,2023-03-06 23:51:13.239927
1FTFX1EF9FKD72880,2,FRONT DOOR TRIM PANEL REPAIR,17N04,2023-03-06 23:51:13.242315
1FTRX17W0XNB00342,2,FRONT DOOR TRIM PANEL REPAIR,17N04,2023-03-06 23:51:13.249597
1FMFU17537LA53639,2,REAR WHEEL KNUCKLE REPLACEMENT,22N01,2023-03-06 23:51:13.244330
1FM5K8B82FGC28708,1,EASY FUEL CAPLESS FUEL FILL PIPE EXTENDED WARRANTY,13N01,2023-03-06 23:51:13.247001
1FTEW1EF4FFB49234,2,FRONT DOOR TRIM PANEL REPAIR,17N04,2023-03-06 23:51:13.250109
1FMFU17537LA53639,2,FRONT DOOR TRIM PANEL REPAIR,17N04,2023-03-06 23:51:13.251876
1FMEU73E58UA81281,,,,2023-03-06 23:51:13.256403
1FMYU22XXWUD03183,,,,2023-03-06 23:51:13.254879
1FTRF12265KC15338,,,,2023-03-06 23:51:14.434770
1FM5K7D81DGA36328,1,REAR TOE LINK INSPECTION REPLACEMENT,21R02,2023-03-06 23:51:14.445091
1FTPX12536FA57582,,,,2023-03-06 23:51:14.460745
1FTEW1EF6HKC42315,,,,2023-03-06 23:51:14.459370
1FTYR14X9XTA40818,,,,2023-03-06 23:51:14.490734
1FTPX14535FB30378,,,,2023-03-06 23:51:14.750773
1FTFW1EF5BFA32177,,,,2023-03-06 23:51:14.751705
1FAHP35N38W294612,,,,2023-03-06 23:51:14.758660
1FALP45T9RF147758,,,,2023-03-06 23:51:14.756919
1FTEW1EB8KFB71874,,,,2023-03-06 23:51:14.763414
1FTZR15E51PB76901,,,,2023-03-06 23:51:14.764222
1FTYR10D13PA53545,,,,2023-03-06 23:51:14.840219
3FAFP31393R121622,,,,2023-03-06 23:51:16.183773
1FTYR10D36PA44768,,,,2023-03-06 23:51:16.184941
1FTEW1E45LFA79849,,,,2023-03-06 23:51:16.192294
1FTRW07W31KB86185,,,,2023-03-06 23:51:16.193614
1FTDF15E4BPA62781,,,,2023-03-06 23:51:16.213808
1FTYR44U16PA04863,,,,2023-03-06 23:51:16.476638
1ZVFT80N555214985,,,,2023-03-06 23:51:16.480510
1FTFW1ET6EFC71960,,,,2023-03-06 23:51:16.495387
1FTBR10C9GUB13656,,,,2023-03-06 23:51:16.495820
1FM5K8D88JGA91408,1,HIGH SPEED COOLING FAN MOTOR RELAY,21N01,2023-03-06 23:51:16.501310
1FMEU6DE1AUA24168,,,,2023-03-06 23:51:16.508229
1FTYR10C2XUB22631,,,,2023-03-06 23:51:16.514998
1FMCU03128KA92620,,,,2023-03-06 23:51:17.817542
1FTRW07692KD69107,,,,2023-03-06 23:51:17.812047
1FAHP3H21CL209942,,,,2023-03-06 23:51:17.835425
1FTPW12V79FA91578,,,,2023-03-06 23:51:17.837710
1FMZU32E1XZA83428,,,,2023-03-06 23:51:18.007166
1FTEW1CBXJKE60778,1,DOOR LATCH FREEZING CONCERNS,19N06,2023-03-06 23:51:18.128846
1fmeu73e79ua19625,2,TRANSMISSION CLUTCH SHUDDER -TRANSMISSION CLUTCH WARRANTY EXTENSION,19N08,2023-03-06 23:51:18.146064
1fmeu73e79ua19625,2,TRANSMISSION CONTROL MODULE EXTENDED WARRANTY COVERAGE,14M02,2023-03-06 23:51:18.149544
1FTFW1EF6EFC91488,,,,2023-03-06 23:51:18.155701
1FTCR10U6VUA10964,,,,2023-03-06 23:51:18.162989
1FADP3K24FL363718,,,,2023-03-06 23:51:18.167563
1FTEX1EM6EFC29662,1,TRANSMISSION CONTROL MODULE EXTENDED WARRANTY COVERAGE,14M02,2023-03-06 23:51:18.169963
1FADP3K23EL335620,1,TRANSMISSION CONTROL MODULE EXTENDED WARRANTY COVERAGE,14M02,2023-03-06 23:51:18.171212
1FACP42E2LF178329,2,TRANSMISSION CONTROL MODULE REPROGRAMMING FOR OVERT TCM FAILURE WARNING,15B22,2023-03-06 23:51:19.456208
1FAHP3N2XCL267875,2,TRANSMISSION CONTROL MODULE REPROGRAMMING FOR OVERT TCM FAILURE WARNING,15B22,2023-03-06 23:51:19.458222
1FAHP3N2XCL267875,2,TRANSMISSION CONTROL MODULE EXTENDED WARRANTY COVERAGE,14M02,2023-03-06 23:51:19.463144
1FACP42E2LF178329,2,TRANSMISSION CONTROL MODULE EXTENDED WARRANTY COVERAGE,14M02,2023-03-06 23:51:19.464743
1ftrx12wx5nb54378,,,,2023-03-06 23:51:19.484071
1ZVBP8CF1C5228032,,,,2023-03-06 23:51:19.482105
1FMCU9GD5JUC99800,2,POWER DOOR LOCK ACTUATOR FAILURE,20M04,2023-03-06 23:51:19.780066
1fmhk8d81bga92270,1,ONE TIME REPAIR FOR VEHICLES INCLUDED IN 19B37,21N12,2023-03-06 23:51:19.777473
1FMCU9GD5JUC99800,2,DOOR LATCH FREEZING CONCERNS,19N06,2023-03-06 23:51:19.784093
1FMCU9J92EUC68045,2,POWER DOOR LOCK ACTUATOR FAILURE,20M04,2023-03-06 23:51:19.781896
1FTEW1EPXJKE34562,2,POWER DOOR LOCK ACTUATOR FAILURE,20M04,2023-03-06 23:51:19.785166
1FMCU9J92EUC68045,2,DOOR LATCH FREEZING CONCERNS,19N06,2023-03-06 23:51:19.787705
1FTEW1EPXJKE34562,2,DOOR LATCH FREEZING CONCERNS,19N06,2023-03-06 23:51:19.792382
1ZVHT82H685155756,,,,2023-03-06 23:51:19.822334
1fa6p8thxg5221484,,,,2023-03-06 23:51:19.823344
1FMPU18L83LA04397,,,,2023-03-06 23:51:19.827340
1FTRX17232NA10236,2,REAR WHEEL KNUCKLE REPLACEMENT,22N01,2023-03-06 23:51:19.899909
1FTRX17232NA10236,2,EPAS STEERING EFFORTS,15N01,2023-03-06 23:51:19.902090
1FTZR45E07PA11042,2,FRONT DOOR TRIM PANEL REPAIR,17N04,2023-03-06 23:51:21.254152
1FTZR45E07PA11042,2,REAR TOE LINK REPLACEMENT,21R01,2023-03-06 23:51:21.257869
1FM5K7F82FGA89653,2,FRONT DOOR TRIM PANEL REPAIR,17N04,2023-03-06 23:51:21.260325
1ZVBP8AN7A5181323,,,,2023-03-06 23:51:21.268711
1FM5K7F82FGA89653,2,REAR TOE LINK REPLACEMENT,21R01,2023-03-06 23:51:21.269940
1ftpw14575fa91152,,,,2023-03-06 23:51:21.354929
1ftex1cm9efb01046,,,,2023-03-06 23:51:21.618541
1fadp3k22Gl231462,1,DOOR LATCH,21N10,2023-03-06 23:51:21.616025
1fmzu84p01ub25149,,,,2023-03-06 23:51:21.630464
1FTEW1E55LFC22226,,,,2023-03-06 23:51:21.628445
1fmhk8d82cga89234,,,,2023-03-06 23:51:21.642619
1FATP8UHXK5179294,,,,2023-03-06 23:51:21.639036
1ftpw12535fa13518,,,,2023-03-06 23:51:21.652336
1FM5K8D85HGC54994,2,REAR WHEEL KNUCKLE REPLACEMENT,22N01,2023-03-06 23:51:21.679306
1FM5K8D85HGC54994,2,HIGH SPEED COOLING FAN MOTOR RELAY,21N01,2023-03-06 23:51:21.681511
1FTKR1AD4BPA53381,,,,2023-03-06 23:51:22.937732
1FM5K8F81JGA96396,,,,2023-03-06 23:51:22.947211
1ZVFT80N175358276,,,,2023-03-06 23:51:22.949522
1FA6P8CF9H5246408,,,,2023-03-06 23:51:22.958903
1FMCU9GX5GUB10274,,,,2023-03-06 23:51:23.202066
1FA6P8CF8K5102274,,,,2023-03-06 23:51:23.221899
1ftyr10u43pa88354,,,,2023-03-06 23:51:23.224531
1FMYU03181KC21309,2,EXTENDED WARRANTY COVERAGE FOR PCM REPROGRAMING IN THE EVENT OF ABS VEHICLE SPEED SIGNAL RELATED COMMUNICATION LOSS THAT DISABLES OBDII SYSTEM MONITORS,14N02,2023-03-06 23:51:23.238866
1FTRF12W95NB32276,2,EXTENDED WARRANTY COVERAGE FOR PCM REPROGRAMING IN THE EVENT OF ABS VEHICLE SPEED SIGNAL RELATED COMMUNICATION LOSS THAT DISABLES OBDII SYSTEM MONITORS,14N02,2023-03-06 23:51:23.244378
1FMYU03181KC21309,2,ELECTRONIC THROTTLE BODY EXTENDED COVERAGE,13N03,2023-03-06 23:51:23.247049
1FMCU0F75DUB54901,2,EXTENDED WARRANTY COVERAGE FOR PCM REPROGRAMING IN THE EVENT OF ABS VEHICLE SPEED SIGNAL RELATED COMMUNICATION LOSS THAT DISABLES OBDII SYSTEM MONITORS,14N02,2023-03-06 23:51:23.249961
1FTRF12W95NB32276,2,ELECTRONIC THROTTLE BODY EXTENDED COVERAGE,13N03,2023-03-06 23:51:23.249002
1FMCU0F75DUB54901,2,ELECTRONIC THROTTLE BODY EXTENDED COVERAGE,13N03,2023-03-06 23:51:23.252815
1FTEW1E51JFA26555,2,POWER DOOR LOCK ACTUATOR FAILURE,20M04,2023-03-06 23:51:23.398369
1ftrx17l3yka18260,2,POWER DOOR LOCK ACTUATOR FAILURE,20M04,2023-03-06 23:51:23.401871
1FTEW1E51JFA26555,2,DOOR LATCH FREEZING CONCERNS,18N03,2023-03-06 23:51:23.405483
1ftrx17l3yka18260,2,DOOR LATCH FREEZING CONCERNS,18N03,2023-03-06 23:51:23.406883
1FA6P8CF7F5418187,,,,2023-03-06 23:51:24.475313
1FAFP31N07W172785,,,,2023-03-06 23:51:24.482192
1FMRU1865XLB92112,,,,2023-03-06 23:51:24.489902
1FTYR15E33TA42748,,,,2023-03-06 23:51:24.496249
1FTPX12525NA45508,1,POWER DOOR LOCK ACTUATOR FAILURE,20M04,2023-03-06 23:51:24.777009
1FTEX1EB4JKF85463,1,POWER DOOR LOCK ACTUATOR FAILURE,20M04,2023-03-06 23:51:24.786732
1FTPX12V17FB88656,2,TRANSMISSION MOLDED LEADFRAME EXTENDED COVERAGE,19N01,2023-03-06 23:51:24.801309
1FTPX12V17FB88656,2,ELECTRIC VACUUM PUMP EXTENDED REPAIR,15N05,2023-03-06 23:51:24.802979
1FTFW1CT1BFB95949,2,TRANSMISSION MOLDED LEADFRAME EXTENDED COVERAGE,19N01,2023-03-06 23:51:24.804611
1FTFW1CT1BFB95949,2,ELECTRIC VACUUM PUMP EXTENDED REPAIR,15N05,2023-03-06 23:51:24.807099
1FTRW12W57FA06932,,,,2023-03-06 23:51:24.837987
1FAFP45X63F387843,,,,2023-03-06 23:51:24.843592
1FTFW1ET4EKD31113,,,,2023-03-06 23:51:25.095724
1FTCR14X6PPA93754,,,,2023-03-06 23:51:25.105127
1FAFP34N55W275421,,,,2023-03-06 23:51:26.117608
1FMCU9EG9AKC96407,1,ELECTRONIC THROTTLE BODY EXTENDED COVERAGE,13N03,2023-03-06 23:51:26.106946
1FTFW1ET2CFB39355,,,,2023-03-06 23:51:26.121468
1FA6P8CF0F5304693,,,,2023-03-06 23:51:26.136879
1FTFW1EF4BKD01020,1,TRANSMISSION MOLDED LEADFRAME EXTENDED COVERAGE,19N01,2023-03-06 23:51:26.442814
1FTRW08L43KA85910,,,,2023-03-06 23:51:26.455999
1FMCU9J97DUB21119,,,,2023-03-06 23:51:26.462623
1FAFP31N47W211796,,,,2023-03-06 23:51:26.464485
1FTEF15Y8TLA94480,,,,2023-03-06 23:51:26.543033
1FTEw1c88HFB68487,3,CALIFORNIA EMISSION WARRANTY PARTS COVERAGE,18M02,2023-03-06 23:51:26.552899
1FTEw1c88HFB68487,3,POWER DOOR LOCK ACTUATOR FAILURE,20M04,2023-03-06 23:51:26.555027
1FTEw1c88HFB68487,3,DOOR LATCH FREEZING CONCERNS,18N03,2023-03-06 23:51:26.557068
1FMPU18515LA74571,,,,2023-03-06 23:51:26.823055
1FTCR10A7VTA42267,,,,2023-03-06 23:51:26.834653
1FMDU32X1TZA95133,,,,2023-03-06 23:51:27.850286
1fa6p8cf4f5403744,,,,2023-03-06 23:51:27.847441
1FMPU16L33LB66876,,,,2023-03-06 23:51:27.863612
1FA6p8CF1H5301787,,,,2023-03-06 23:51:27.872086
1FMCU0C72CKC75285,1,ELECTRONIC THROTTLE BODY EXTENDED COVERAGE,13N03,2023-03-06 23:51:28.271498
1FTPX04575KD54853,1,ELECTRONIC THROTTLE BODY EXTENDED COVERAGE,13N03,2023-03-06 23:51:28.281051
1FMCU0F70HUE18435,1,ELECTRONIC THROTTLE BODY EXTENDED COVERAGE,13N03,2023-03-06 23:51:28.276334
1FTPX14517FB84006,1,ELECTRONIC THROTTLE BODY EXTENDED COVERAGE,13N03,2023-03-06 23:51:28.282966
1fm5k8gt4ggb05734,1,ELECTRONIC THROTTLE BODY EXTENDED COVERAGE,13N03,2023-03-06 23:51:28.285972
1FMCU0JX3GUB58098,,,,2023-03-06 23:51:28.404619
1FMCU0GD7HUC42200,2,ONE TIME REPAIR FOR VEHICLES INCLUDED IN 19B37,21N12,2023-03-06 23:51:28.466458
1FMCU0GD7HUC42200,2,CALIFORNIA EMISSION WARRANTY PARTS COVERAGE,18M02,2023-03-06 23:51:28.468806
1FTYF1767WNC08843,,,,2023-03-06 23:51:28.480561
1FTRW08LX1KA23764,1,REAR AXLE BOLT REPLACEMENT,22N06,2023-03-06 23:51:29.602083
1FMPU16L31LA53765,1,REAR AXLE BOLT REPLACEMENT,22N06,2023-03-06 23:51:29.599686
1FMSK7FH0LGC97142,1,REAR AXLE BOLT REPLACEMENT,22N06,2023-03-06 23:51:29.612772
1ftrw12w74kb13922,,,,2023-03-06 23:51:29.810212
1FADP3F23EL175989,2,TRANSMISSION CONTROL MODULE EXTENDED WARRANTY COVERAGE,14M02,2023-03-06 23:51:29.823906
1FADP3F23EL175989,2,TRANSMISSION CLUTCH SHUDDER -TRANSMISSION CLUTCH WARRANTY EXTENSION,19N08,2023-03-06 23:51:29.827051
1FA6P8TH5L5153959,,,,2023-03-06 23:51:29.841649
1FABP42E1KF310345,,,,2023-03-06 23:51:29.840896
1FTCR15X0TPB55772,,,,2023-03-06 23:51:29.848408
1FTKR1AD9BPB01781,,,,2023-03-06 23:51:29.846615
1FTPX14554NB09049,,,,2023-03-06 23:51:30.208080
1FTFW1ET3DKD03107,1,TRANSMISSION MOLDED LEADFRAME EXTENDED COVERAGE,19N01,2023-03-06 23:51:30.220579
1FTEX1EP4MKE09240,,,,2023-03-06 23:51:30.233472
1FMYU03143KA50142,,,,2023-03-06 23:51:31.245698
1FMJU1KT0JEA05060,,,,2023-03-06 23:51:31.260989
1FAFP40491F186593,,,,2023-03-06 23:51:31.262461
1FAFP42X52F116663,,,,2023-03-06 23:51:31.554475
2FTPX18LXYCA61441,,,,2023-03-06 23:51:31.561014
1FTEW1E56JFB62339,,,,2023-03-06 23:51:31.571969
1FTEW1E40LFB38953,,,,2023-03-06 23:51:31.573264
1FTFW1CV2AFB33685,,,,2023-03-06 23:51:31.575232
1FMZU63K15UB41683,,,,2023-03-06 23:51:31.576820
1fmdu34x2pub85276,,,,2023-03-06 23:51:31.828629
1FADP3F26DL276927,1,TRANSMISSION CONTROL MODULE EXTENDED WARRANTY COVERAGE,14M02,2023-03-06 23:51:31.836157
1FTFW1EF9BKD25118,1,TRANSMISSION MOLDED LEADFRAME EXTENDED COVERAGE,19N01,2023-03-06 23:51:31.846661
1FTRX17L11NA12767,,,,2023-03-06 23:51:32.759468
1FMCU9DG7CKA33613,1,ELECTRONIC THROTTLE BODY EXTENDED COVERAGE,13N03,2023-03-06 23:51:32.824212
1FMYU60X7YUA85247,,,,2023-03-06 23:51:32.848908
1fafp40411f218243,,,,2023-03-06 23:51:33.110453
1FTYR44U74PA13001,,,,2023-03-06 23:51:33.127237
1FTYR10U04PA18044,,,,2023-03-06 23:51:33.126
1FTEW1CP6GKF19698,,,,2023-03-06 23:51:33.146705
1ftrf12298kc46698,,,,2023-03-06 23:51:33.145831
1FTYR14U2WPA16261,,,,2023-03-06 23:51:33.156731
1FTPX14V78FA67970,,,,2023-03-06 23:51:33.448453
1FTDX18W0VNC21586,,,,2023-03-06 23:51:33.455694
1FTPW12V68FB66737,,,,2023-03-06 23:51:33.465803
1FM5K8GT9GGD01880,,,,2023-03-06 23:51:34.514510
1FTMF1CM2EKF94140,,,,2023-03-06 23:51:34.511578
1FMPU16L74LA72467,,,,2023-03-06 23:51:34.523063
1FAFP42XX2F148153,,,,2023-03-06 23:51:34.817406
1FTRX17W73NB28164,,,,2023-03-06 23:51:34.830387
1FTCR15X0TPA31453,2,REAR TOE LINK REPLACEMENT,21R01,2023-03-06 23:51:34.840626
1FTCR15X0TPA31453,2,FRONT DOOR TRIM PANEL REPAIR,17N04,2023-03-06 23:51:34.843176
1FM5K8D82EGA65666,2,REAR TOE LINK REPLACEMENT,21R01,2023-03-06 23:51:34.844435
1FM5K8D82EGA65666,2,FRONT DOOR TRIM PANEL REPAIR,17N04,2023-03-06 23:51:34.848443
1FAFP38Z05W293919,,,,2023-03-06 23:51:34.853643
1FALP45T5RF150026,,,,2023-03-06 23:51:34.883772
1FMCU0HX6DUC76339,1,DOOR LATCH,21N10,2023-03-06 23:51:35.121022
1FATP8UH6L5111978,1,DOOR LATCH,21N10,2023-03-06 23:51:35.126866
1fafp40442f106389,,,,2023-03-06 23:51:35.166389
1FAFP4044YF294226,,,,2023-03-06 23:51:36.029684
1FAFP44634F197346,,,,2023-03-06 23:51:36.068871
1FTPX14597FB47849,,,,2023-03-06 23:51:36.075307
1FAHP3K20CL375345,1,TRANSMISSION CONTROL MODULE EXTENDED WARRANTY COVERAGE,14M02,2023-03-06 23:51:36.381446
1FALP4046VF124786,1,TRANSMISSION CONTROL MODULE EXTENDED WARRANTY COVERAGE,14M02,2023-03-06 23:51:36.378868
1fa6p8cf2f5369612,,,,2023-03-06 23:51:36.415897
1FTEW1EP6HFB64927,,,,2023-03-06 23:51:36.427058
1Zvht80n685184652,,,,2023-03-06 23:51:36.425986
1ZVBP8AN8A5156723,,,,2023-03-06 23:51:36.432744
1FTPW14535KC58680,,,,2023-03-06 23:51:36.685225
1FTFW1E53JKC55315,2,POWER DOOR LOCK ACTUATOR FAILURE,20M04,2023-03-06 23:51:36.694562
1FTFW1E53JKC55315,2,DOOR LATCH REPAIR ENHANCEMENTS FOR VEHICLES IN 18N03 WITH COMPLETED REPAIRS,19N02,2023-03-06 23:51:36.696548
1FTYR14U52PA39740,,,,2023-03-06 23:51:36.734460
1FM5K8AR4JGB67929,2,HIGH SPEED COOLING FAN MOTOR RELAY,21N01,2023-03-06 23:51:37.583814
1FM5K8AR4JGB67929,2,CATALYTIC CONVERTER EXTENDED COVERAGE,19M01,2023-03-06 23:51:37.584582
1FTFW1EF4DKE01783,1,TRANSMISSION MOLDED LEADFRAME EXTENDED COVERAGE,19N01,2023-03-06 23:51:37.612739
1FMCU0F70HUC14721,,,,2023-03-06 23:51:37.628368
1FAFP42X64F113421,1,CLEAR PERMANENT DTC P0315,17N01,2023-03-06 23:51:37.977008
1FAHP3M27CL332487,1,CLEAR PERMANENT DTC P0315,17N01,2023-03-06 23:51:37.978526
1ZVBP8AM4D5262727,1,CLEAR PERMANENT DTC P0315,17N01,2023-03-06 23:51:37.984844
1FAHP363X3W289557,,,,2023-03-06 23:51:37.995311
1FMCU9GX4FUB64891,,,,2023-03-06 23:51:38.228835
1FTYR10D28PA97111,,,,2023-03-06 23:51:38.308500
1FTRF12217NA20104,,,,2023-03-06 23:51:38.400432
1FMHK7F88CGA47030,2,REAR TOE LINK INSPECTION REPLACEMENT,21R02,2023-03-06 23:51:38.413504
1FMHK7F88CGA47030,2,EPAS STEERING EFFORTS,15N01,2023-03-06 23:51:38.416423
1FAFP42X01F173724,,,,2023-03-06 23:51:39.723362
1FAHP3FN8AW170257,,,,2023-03-06 23:51:39.723835
1FALP45D9RF158803,,,,2023-03-06 23:51:40.060538
1FTFW1E54JKE18960,1,POWER DOOR LOCK ACTUATOR FAILURE,20M04,2023-03-06 23:51:40.069442
1FTFW1ET1DKF62579,1,TRANSMISSION MOLDED LEADFRAME EXTENDED COVERAGE,19N01,2023-03-06 23:51:40.487525
1fmju1j55def09305,1,TRANSMISSION MOLDED LEADFRAME EXTENDED COVERAGE,19N01,2023-03-06 23:51:40.543376
1FMJU2AT9MEA29224,,,,2023-03-06 23:51:40.681046
1ftew1c87ake14555,,,,2023-03-06 23:51:40.911722
1FTEW1E50JKC86520,2,DOOR LATCH FREEZING CONCERNS,18N03,2023-03-06 23:51:41.245144
1FTEW1E50JKC86520,2,POWER DOOR LOCK ACTUATOR FAILURE,20M04,2023-03-06 23:51:41.247335
1FTEW1EP2GKF86134,2,DOOR LATCH FREEZING CONCERNS,18N03,2023-03-06 23:51:42.194745
1FTEW1EP2GKF86134,2,POWER DOOR LOCK ACTUATOR FAILURE,20M04,2023-03-06 23:51:42.195538
1fmzu67e93Uc50085,,,,2023-03-06 23:51:42.522031
1FAFP40451F132319,,,,2023-03-06 23:51:43.149443
1FTEW1EG2JFB64381,2,POWER DOOR LOCK ACTUATOR FAILURE,20M04,2023-03-06 23:51:43.509952
1FTEW1EG2JFB64381,2,DOOR LATCH FREEZING CONCERNS,18N03,2023-03-06 23:51:43.512462
1zvft80n665230436,,,,2023-03-06 23:51:43.551594
1FA6P8CF7K5134195,,,,2023-03-06 23:51:44.126341
1FMEU73E07UA97791,,,,2023-03-06 23:51:44.668083
1FMDU74W94UC05078,,,,2023-03-06 23:51:45.047118
1FMYU60EX3UB64953,,,,2023-03-06 23:51:46.147544
1FTRF122X6NB22872,,,,2023-03-06 23:51:46.364828
1FMYU03115KA36430,,,,2023-03-06 23:51:47.098656
1FAFP4446XF169723,,,,2023-03-06 23:51:47.103164
2FTRX17W7XCB17855,,,,2023-03-06 23:51:47.817322
1FTRX12W35NB79140,,,,2023-03-06 23:51:47.821767
